id,filepath,site,label
ZJ000121,train_features/ZJ000121.jpg,S0069,6
ZJ000122,train_features/ZJ000122.jpg,S0009,7
ZJ000123,train_features/ZJ000123.jpg,S0021,0
ZJ000124,train_features/ZJ000124.jpg,S0108,0
ZJ000125,train_features/ZJ000125.jpg,S0008,1
ZJ000126,train_features/ZJ000126.jpg,S0043,7
ZJ000127,train_features/ZJ000127.jpg,S0031,0
ZJ000128,train_features/ZJ000128.jpg,S0046,5
ZJ000129,train_features/ZJ000129.jpg,S0136,1
ZJ000130,train_features/ZJ000130.jpg,S0174,7
ZJ000132,train_features/ZJ000132.jpg,S0060,3
ZJ000133,train_features/ZJ000133.jpg,S0060,3
ZJ000134,train_features/ZJ000134.jpg,S0019,4
ZJ000135,train_features/ZJ000135.jpg,S0013,3
ZJ000136,train_features/ZJ000136.jpg,S0020,3
ZJ000137,train_features/ZJ000137.jpg,S0013,0
ZJ000138,train_features/ZJ000138.jpg,S0043,5
ZJ000139,train_features/ZJ000139.jpg,S0060,3
ZJ000142,train_features/ZJ000142.jpg,S0022,2
ZJ000143,train_features/ZJ000143.jpg,S0120,7
ZJ000144,train_features/ZJ000144.jpg,S0013,2
ZJ000145,train_features/ZJ000145.jpg,S0123,0
ZJ000146,train_features/ZJ000146.jpg,S0120,7
ZJ000148,train_features/ZJ000148.jpg,S0026,7
ZJ000149,train_features/ZJ000149.jpg,S0030,0
ZJ000150,train_features/ZJ000150.jpg,S0184,0
ZJ000153,train_features/ZJ000153.jpg,S0008,7
ZJ000154,train_features/ZJ000154.jpg,S0009,1
ZJ000155,train_features/ZJ000155.jpg,S0136,2
ZJ000156,train_features/ZJ000156.jpg,S0038,5
ZJ000157,train_features/ZJ000157.jpg,S0158,0
ZJ000158,train_features/ZJ000158.jpg,S0060,3
ZJ000159,train_features/ZJ000159.jpg,S0156,5
ZJ000160,train_features/ZJ000160.jpg,S0071,7
ZJ000161,train_features/ZJ000161.jpg,S0022,5
ZJ000162,train_features/ZJ000162.jpg,S0071,1
ZJ000163,train_features/ZJ000163.jpg,S0004,1
ZJ000164,train_features/ZJ000164.jpg,S0077,6
ZJ000165,train_features/ZJ000165.jpg,S0001,2
ZJ000166,train_features/ZJ000166.jpg,S0043,5
ZJ000167,train_features/ZJ000167.jpg,S0016,1
ZJ000168,train_features/ZJ000168.jpg,S0008,2
ZJ000169,train_features/ZJ000169.jpg,S0036,7
ZJ000171,train_features/ZJ000171.jpg,S0009,6
ZJ000172,train_features/ZJ000172.jpg,S0036,2
ZJ000173,train_features/ZJ000173.jpg,S0026,6
ZJ000175,train_features/ZJ000175.jpg,S0043,5
ZJ000176,train_features/ZJ000176.jpg,S0081,3
ZJ000177,train_features/ZJ000177.jpg,S0009,6
ZJ000178,train_features/ZJ000178.jpg,S0184,3
ZJ000179,train_features/ZJ000179.jpg,S0084,5
ZJ000181,train_features/ZJ000181.jpg,S0042,2
ZJ000182,train_features/ZJ000182.jpg,S0021,6
ZJ000183,train_features/ZJ000183.jpg,S0179,6
ZJ000185,train_features/ZJ000185.jpg,S0031,5
ZJ000186,train_features/ZJ000186.jpg,S0070,3
ZJ000187,train_features/ZJ000187.jpg,S0023,0
ZJ000189,train_features/ZJ000189.jpg,S0096,5
ZJ000190,train_features/ZJ000190.jpg,S0009,1
ZJ000191,train_features/ZJ000191.jpg,S0069,0
ZJ000194,train_features/ZJ000194.jpg,S0036,6
ZJ000195,train_features/ZJ000195.jpg,S0022,2
ZJ000196,train_features/ZJ000196.jpg,S0110,2
ZJ000197,train_features/ZJ000197.jpg,S0123,0
ZJ000198,train_features/ZJ000198.jpg,S0137,7
ZJ000199,train_features/ZJ000199.jpg,S0163,6
ZJ000201,train_features/ZJ000201.jpg,S0121,6
ZJ000202,train_features/ZJ000202.jpg,S0071,3
ZJ000206,train_features/ZJ000206.jpg,S0062,7
ZJ000207,train_features/ZJ000207.jpg,S0029,0
ZJ000208,train_features/ZJ000208.jpg,S0009,1
ZJ000209,train_features/ZJ000209.jpg,S0071,7
ZJ000210,train_features/ZJ000210.jpg,S0029,0
ZJ000211,train_features/ZJ000211.jpg,S0136,0
ZJ000212,train_features/ZJ000212.jpg,S0069,7
ZJ000213,train_features/ZJ000213.jpg,S0153,5
ZJ000214,train_features/ZJ000214.jpg,S0069,6
ZJ000215,train_features/ZJ000215.jpg,S0025,6
ZJ000216,train_features/ZJ000216.jpg,S0061,0
ZJ000217,train_features/ZJ000217.jpg,S0002,7
ZJ000218,train_features/ZJ000218.jpg,S0060,3
ZJ000220,train_features/ZJ000220.jpg,S0144,4
ZJ000221,train_features/ZJ000221.jpg,S0032,2
ZJ000222,train_features/ZJ000222.jpg,S0060,0
ZJ000223,train_features/ZJ000223.jpg,S0147,7
ZJ000224,train_features/ZJ000224.jpg,S0023,3
ZJ000225,train_features/ZJ000225.jpg,S0120,7
ZJ000226,train_features/ZJ000226.jpg,S0031,7
ZJ000227,train_features/ZJ000227.jpg,S0013,6
ZJ000229,train_features/ZJ000229.jpg,S0083,5
ZJ000231,train_features/ZJ000231.jpg,S0022,1
ZJ000232,train_features/ZJ000232.jpg,S0175,2
ZJ000233,train_features/ZJ000233.jpg,S0035,6
ZJ000235,train_features/ZJ000235.jpg,S0022,5
ZJ000236,train_features/ZJ000236.jpg,S0014,5
ZJ000237,train_features/ZJ000237.jpg,S0031,5
ZJ000238,train_features/ZJ000238.jpg,S0136,0
ZJ000239,train_features/ZJ000239.jpg,S0120,0
ZJ000241,train_features/ZJ000241.jpg,S0185,2
ZJ000242,train_features/ZJ000242.jpg,S0070,3
ZJ000243,train_features/ZJ000243.jpg,S0030,7
ZJ000244,train_features/ZJ000244.jpg,S0038,5
ZJ000245,train_features/ZJ000245.jpg,S0026,1
ZJ000246,train_features/ZJ000246.jpg,S0002,6
ZJ000247,train_features/ZJ000247.jpg,S0069,0
ZJ000248,train_features/ZJ000248.jpg,S0176,6
ZJ000249,train_features/ZJ000249.jpg,S0159,6
ZJ000250,train_features/ZJ000250.jpg,S0036,7
ZJ000251,train_features/ZJ000251.jpg,S0120,1
ZJ000252,train_features/ZJ000252.jpg,S0050,2
ZJ000253,train_features/ZJ000253.jpg,S0096,5
ZJ000255,train_features/ZJ000255.jpg,S0004,6
ZJ000256,train_features/ZJ000256.jpg,S0070,7
ZJ000257,train_features/ZJ000257.jpg,S0008,2
ZJ000258,train_features/ZJ000258.jpg,S0060,3
ZJ000259,train_features/ZJ000259.jpg,S0096,5
ZJ000260,train_features/ZJ000260.jpg,S0022,6
ZJ000261,train_features/ZJ000261.jpg,S0089,6
ZJ000262,train_features/ZJ000262.jpg,S0008,7
ZJ000264,train_features/ZJ000264.jpg,S0049,6
ZJ000266,train_features/ZJ000266.jpg,S0016,1
ZJ000267,train_features/ZJ000267.jpg,S0137,2
ZJ000269,train_features/ZJ000269.jpg,S0009,3
ZJ000270,train_features/ZJ000270.jpg,S0069,0
ZJ000271,train_features/ZJ000271.jpg,S0025,7
ZJ000272,train_features/ZJ000272.jpg,S0008,7
ZJ000273,train_features/ZJ000273.jpg,S0069,0
ZJ000274,train_features/ZJ000274.jpg,S0096,5
ZJ000275,train_features/ZJ000275.jpg,S0093,0
ZJ000276,train_features/ZJ000276.jpg,S0123,2
ZJ000277,train_features/ZJ000277.jpg,S0018,1
ZJ000278,train_features/ZJ000278.jpg,S0060,3
ZJ000279,train_features/ZJ000279.jpg,S0071,5
ZJ000280,train_features/ZJ000280.jpg,S0127,2
ZJ000281,train_features/ZJ000281.jpg,S0136,0
ZJ000282,train_features/ZJ000282.jpg,S0147,7
ZJ000283,train_features/ZJ000283.jpg,S0060,3
ZJ000284,train_features/ZJ000284.jpg,S0081,1
ZJ000286,train_features/ZJ000286.jpg,S0061,2
ZJ000287,train_features/ZJ000287.jpg,S0136,7
ZJ000288,train_features/ZJ000288.jpg,S0008,7
ZJ000289,train_features/ZJ000289.jpg,S0031,0
ZJ000291,train_features/ZJ000291.jpg,S0071,6
ZJ000292,train_features/ZJ000292.jpg,S0130,1
ZJ000293,train_features/ZJ000293.jpg,S0038,5
ZJ000294,train_features/ZJ000294.jpg,S0036,7
ZJ000295,train_features/ZJ000295.jpg,S0130,2
ZJ000296,train_features/ZJ000296.jpg,S0022,5
ZJ000297,train_features/ZJ000297.jpg,S0036,6
ZJ000298,train_features/ZJ000298.jpg,S0077,2
ZJ000299,train_features/ZJ000299.jpg,S0146,6
ZJ000300,train_features/ZJ000300.jpg,S0051,3
ZJ000303,train_features/ZJ000303.jpg,S0070,3
ZJ000304,train_features/ZJ000304.jpg,S0120,7
ZJ000305,train_features/ZJ000305.jpg,S0030,3
ZJ000306,train_features/ZJ000306.jpg,S0130,1
ZJ000307,train_features/ZJ000307.jpg,S0008,7
ZJ000308,train_features/ZJ000308.jpg,S0060,3
ZJ000309,train_features/ZJ000309.jpg,S0008,0
ZJ000311,train_features/ZJ000311.jpg,S0004,6
ZJ000312,train_features/ZJ000312.jpg,S0004,6
ZJ000313,train_features/ZJ000313.jpg,S0089,6
ZJ000314,train_features/ZJ000314.jpg,S0049,6
ZJ000316,train_features/ZJ000316.jpg,S0003,2
ZJ000317,train_features/ZJ000317.jpg,S0069,0
ZJ000318,train_features/ZJ000318.jpg,S0081,7
ZJ000319,train_features/ZJ000319.jpg,S0043,5
ZJ000320,train_features/ZJ000320.jpg,S0051,6
ZJ000321,train_features/ZJ000321.jpg,S0137,6
ZJ000322,train_features/ZJ000322.jpg,S0046,0
ZJ000324,train_features/ZJ000324.jpg,S0130,7
ZJ000326,train_features/ZJ000326.jpg,S0016,3
ZJ000329,train_features/ZJ000329.jpg,S0030,2
ZJ000330,train_features/ZJ000330.jpg,S0120,7
ZJ000331,train_features/ZJ000331.jpg,S0014,4
ZJ000332,train_features/ZJ000332.jpg,S0150,5
ZJ000334,train_features/ZJ000334.jpg,S0172,2
ZJ000336,train_features/ZJ000336.jpg,S0001,1
ZJ000337,train_features/ZJ000337.jpg,S0060,3
ZJ000338,train_features/ZJ000338.jpg,S0001,5
ZJ000341,train_features/ZJ000341.jpg,S0127,2
ZJ000342,train_features/ZJ000342.jpg,S0164,0
ZJ000343,train_features/ZJ000343.jpg,S0062,7
ZJ000344,train_features/ZJ000344.jpg,S0101,1
ZJ000345,train_features/ZJ000345.jpg,S0051,6
ZJ000346,train_features/ZJ000346.jpg,S0070,3
ZJ000347,train_features/ZJ000347.jpg,S0035,6
ZJ000348,train_features/ZJ000348.jpg,S0022,5
ZJ000349,train_features/ZJ000349.jpg,S0051,2
ZJ000350,train_features/ZJ000350.jpg,S0101,4
ZJ000351,train_features/ZJ000351.jpg,S0127,2
ZJ000352,train_features/ZJ000352.jpg,S0020,3
ZJ000353,train_features/ZJ000353.jpg,S0036,0
ZJ000354,train_features/ZJ000354.jpg,S0049,3
ZJ000355,train_features/ZJ000355.jpg,S0062,7
ZJ000356,train_features/ZJ000356.jpg,S0060,3
ZJ000358,train_features/ZJ000358.jpg,S0051,6
ZJ000359,train_features/ZJ000359.jpg,S0031,5
ZJ000361,train_features/ZJ000361.jpg,S0147,7
ZJ000362,train_features/ZJ000362.jpg,S0014,4
ZJ000363,train_features/ZJ000363.jpg,S0008,2
ZJ000365,train_features/ZJ000365.jpg,S0071,7
ZJ000366,train_features/ZJ000366.jpg,S0062,7
ZJ000367,train_features/ZJ000367.jpg,S0043,5
ZJ000368,train_features/ZJ000368.jpg,S0035,0
ZJ000369,train_features/ZJ000369.jpg,S0062,7
ZJ000370,train_features/ZJ000370.jpg,S0110,2
ZJ000373,train_features/ZJ000373.jpg,S0008,7
ZJ000374,train_features/ZJ000374.jpg,S0123,6
ZJ000375,train_features/ZJ000375.jpg,S0120,7
ZJ000376,train_features/ZJ000376.jpg,S0036,5
ZJ000377,train_features/ZJ000377.jpg,S0120,7
ZJ000378,train_features/ZJ000378.jpg,S0036,5
ZJ000379,train_features/ZJ000379.jpg,S0060,3
ZJ000380,train_features/ZJ000380.jpg,S0009,1
ZJ000381,train_features/ZJ000381.jpg,S0061,2
ZJ000383,train_features/ZJ000383.jpg,S0101,4
ZJ000384,train_features/ZJ000384.jpg,S0160,5
ZJ000385,train_features/ZJ000385.jpg,S0009,1
ZJ000386,train_features/ZJ000386.jpg,S0120,0
ZJ000387,train_features/ZJ000387.jpg,S0120,7
ZJ000388,train_features/ZJ000388.jpg,S0001,5
ZJ000390,train_features/ZJ000390.jpg,S0134,1
ZJ000392,train_features/ZJ000392.jpg,S0185,0
ZJ000394,train_features/ZJ000394.jpg,S0043,5
ZJ000395,train_features/ZJ000395.jpg,S0024,2
ZJ000397,train_features/ZJ000397.jpg,S0038,5
ZJ000398,train_features/ZJ000398.jpg,S0137,7
ZJ000399,train_features/ZJ000399.jpg,S0170,5
ZJ000400,train_features/ZJ000400.jpg,S0193,6
ZJ000402,train_features/ZJ000402.jpg,S0149,2
ZJ000404,train_features/ZJ000404.jpg,S0062,1
ZJ000405,train_features/ZJ000405.jpg,S0009,0
ZJ000406,train_features/ZJ000406.jpg,S0022,6
ZJ000407,train_features/ZJ000407.jpg,S0061,2
ZJ000408,train_features/ZJ000408.jpg,S0083,5
ZJ000409,train_features/ZJ000409.jpg,S0071,5
ZJ000412,train_features/ZJ000412.jpg,S0014,5
ZJ000413,train_features/ZJ000413.jpg,S0060,2
ZJ000414,train_features/ZJ000414.jpg,S0179,5
ZJ000415,train_features/ZJ000415.jpg,S0036,5
ZJ000416,train_features/ZJ000416.jpg,S0030,3
ZJ000420,train_features/ZJ000420.jpg,S0025,6
ZJ000421,train_features/ZJ000421.jpg,S0120,1
ZJ000422,train_features/ZJ000422.jpg,S0149,0
ZJ000423,train_features/ZJ000423.jpg,S0074,1
ZJ000424,train_features/ZJ000424.jpg,S0134,1
ZJ000425,train_features/ZJ000425.jpg,S0036,5
ZJ000426,train_features/ZJ000426.jpg,S0177,2
ZJ000427,train_features/ZJ000427.jpg,S0159,4
ZJ000428,train_features/ZJ000428.jpg,S0013,0
ZJ000429,train_features/ZJ000429.jpg,S0131,1
ZJ000431,train_features/ZJ000431.jpg,S0120,1
ZJ000432,train_features/ZJ000432.jpg,S0060,3
ZJ000433,train_features/ZJ000433.jpg,S0017,2
ZJ000435,train_features/ZJ000435.jpg,S0120,0
ZJ000436,train_features/ZJ000436.jpg,S0023,2
ZJ000437,train_features/ZJ000437.jpg,S0110,0
ZJ000438,train_features/ZJ000438.jpg,S0060,3
ZJ000439,train_features/ZJ000439.jpg,S0051,0
ZJ000440,train_features/ZJ000440.jpg,S0115,6
ZJ000441,train_features/ZJ000441.jpg,S0047,2
ZJ000442,train_features/ZJ000442.jpg,S0147,3
ZJ000443,train_features/ZJ000443.jpg,S0032,0
ZJ000444,train_features/ZJ000444.jpg,S0004,6
ZJ000445,train_features/ZJ000445.jpg,S0083,5
ZJ000446,train_features/ZJ000446.jpg,S0089,3
ZJ000447,train_features/ZJ000447.jpg,S0031,5
ZJ000448,train_features/ZJ000448.jpg,S0069,6
ZJ000449,train_features/ZJ000449.jpg,S0141,1
ZJ000450,train_features/ZJ000450.jpg,S0136,6
ZJ000451,train_features/ZJ000451.jpg,S0085,0
ZJ000453,train_features/ZJ000453.jpg,S0147,7
ZJ000454,train_features/ZJ000454.jpg,S0180,0
ZJ000455,train_features/ZJ000455.jpg,S0147,7
ZJ000456,train_features/ZJ000456.jpg,S0071,5
ZJ000457,train_features/ZJ000457.jpg,S0060,7
ZJ000458,train_features/ZJ000458.jpg,S0009,4
ZJ000459,train_features/ZJ000459.jpg,S0159,4
ZJ000460,train_features/ZJ000460.jpg,S0108,1
ZJ000462,train_features/ZJ000462.jpg,S0043,5
ZJ000463,train_features/ZJ000463.jpg,S0043,5
ZJ000465,train_features/ZJ000465.jpg,S0130,0
ZJ000466,train_features/ZJ000466.jpg,S0044,2
ZJ000467,train_features/ZJ000467.jpg,S0030,5
ZJ000468,train_features/ZJ000468.jpg,S0035,0
ZJ000469,train_features/ZJ000469.jpg,S0137,2
ZJ000470,train_features/ZJ000470.jpg,S0008,7
ZJ000471,train_features/ZJ000471.jpg,S0030,3
ZJ000472,train_features/ZJ000472.jpg,S0102,6
ZJ000473,train_features/ZJ000473.jpg,S0008,7
ZJ000474,train_features/ZJ000474.jpg,S0036,6
ZJ000476,train_features/ZJ000476.jpg,S0002,6
ZJ000477,train_features/ZJ000477.jpg,S0137,2
ZJ000478,train_features/ZJ000478.jpg,S0009,2
ZJ000479,train_features/ZJ000479.jpg,S0043,5
ZJ000480,train_features/ZJ000480.jpg,S0061,2
ZJ000481,train_features/ZJ000481.jpg,S0127,0
ZJ000482,train_features/ZJ000482.jpg,S0029,5
ZJ000483,train_features/ZJ000483.jpg,S0170,0
ZJ000484,train_features/ZJ000484.jpg,S0010,0
ZJ000486,train_features/ZJ000486.jpg,S0071,7
ZJ000487,train_features/ZJ000487.jpg,S0120,7
ZJ000488,train_features/ZJ000488.jpg,S0130,0
ZJ000489,train_features/ZJ000489.jpg,S0060,3
ZJ000490,train_features/ZJ000490.jpg,S0023,5
ZJ000491,train_features/ZJ000491.jpg,S0077,0
ZJ000492,train_features/ZJ000492.jpg,S0036,6
ZJ000493,train_features/ZJ000493.jpg,S0105,5
ZJ000494,train_features/ZJ000494.jpg,S0139,4
ZJ000495,train_features/ZJ000495.jpg,S0014,5
ZJ000496,train_features/ZJ000496.jpg,S0043,5
ZJ000497,train_features/ZJ000497.jpg,S0127,6
ZJ000498,train_features/ZJ000498.jpg,S0009,4
ZJ000499,train_features/ZJ000499.jpg,S0123,0
ZJ000500,train_features/ZJ000500.jpg,S0030,3
ZJ000501,train_features/ZJ000501.jpg,S0036,5
ZJ000502,train_features/ZJ000502.jpg,S0036,5
ZJ000503,train_features/ZJ000503.jpg,S0009,6
ZJ000504,train_features/ZJ000504.jpg,S0025,1
ZJ000505,train_features/ZJ000505.jpg,S0147,3
ZJ000506,train_features/ZJ000506.jpg,S0120,7
ZJ000507,train_features/ZJ000507.jpg,S0174,0
ZJ000508,train_features/ZJ000508.jpg,S0022,2
ZJ000509,train_features/ZJ000509.jpg,S0157,2
ZJ000510,train_features/ZJ000510.jpg,S0020,7
ZJ000511,train_features/ZJ000511.jpg,S0120,1
ZJ000512,train_features/ZJ000512.jpg,S0184,0
ZJ000513,train_features/ZJ000513.jpg,S0101,1
ZJ000514,train_features/ZJ000514.jpg,S0060,3
ZJ000515,train_features/ZJ000515.jpg,S0038,5
ZJ000516,train_features/ZJ000516.jpg,S0020,3
ZJ000517,train_features/ZJ000517.jpg,S0167,0
ZJ000520,train_features/ZJ000520.jpg,S0038,5
ZJ000521,train_features/ZJ000521.jpg,S0043,5
ZJ000523,train_features/ZJ000523.jpg,S0049,1
ZJ000524,train_features/ZJ000524.jpg,S0026,1
ZJ000525,train_features/ZJ000525.jpg,S0074,1
ZJ000526,train_features/ZJ000526.jpg,S0014,6
ZJ000527,train_features/ZJ000527.jpg,S0036,5
ZJ000528,train_features/ZJ000528.jpg,S0008,7
ZJ000529,train_features/ZJ000529.jpg,S0075,6
ZJ000530,train_features/ZJ000530.jpg,S0077,6
ZJ000532,train_features/ZJ000532.jpg,S0149,5
ZJ000533,train_features/ZJ000533.jpg,S0009,0
ZJ000534,train_features/ZJ000534.jpg,S0038,5
ZJ000535,train_features/ZJ000535.jpg,S0130,7
ZJ000536,train_features/ZJ000536.jpg,S0036,4
ZJ000538,train_features/ZJ000538.jpg,S0049,1
ZJ000539,train_features/ZJ000539.jpg,S0130,1
ZJ000540,train_features/ZJ000540.jpg,S0110,7
ZJ000541,train_features/ZJ000541.jpg,S0136,2
ZJ000542,train_features/ZJ000542.jpg,S0123,0
ZJ000543,train_features/ZJ000543.jpg,S0170,6
ZJ000544,train_features/ZJ000544.jpg,S0020,2
ZJ000545,train_features/ZJ000545.jpg,S0120,7
ZJ000546,train_features/ZJ000546.jpg,S0008,3
ZJ000547,train_features/ZJ000547.jpg,S0025,7
ZJ000548,train_features/ZJ000548.jpg,S0069,0
ZJ000549,train_features/ZJ000549.jpg,S0016,3
ZJ000550,train_features/ZJ000550.jpg,S0089,1
ZJ000551,train_features/ZJ000551.jpg,S0070,7
ZJ000552,train_features/ZJ000552.jpg,S0123,0
ZJ000553,train_features/ZJ000553.jpg,S0060,2
ZJ000554,train_features/ZJ000554.jpg,S0127,0
ZJ000555,train_features/ZJ000555.jpg,S0184,3
ZJ000556,train_features/ZJ000556.jpg,S0035,0
ZJ000557,train_features/ZJ000557.jpg,S0069,2
ZJ000558,train_features/ZJ000558.jpg,S0062,1
ZJ000559,train_features/ZJ000559.jpg,S0049,3
ZJ000560,train_features/ZJ000560.jpg,S0120,2
ZJ000561,train_features/ZJ000561.jpg,S0196,2
ZJ000564,train_features/ZJ000564.jpg,S0164,2
ZJ000565,train_features/ZJ000565.jpg,S0069,2
ZJ000566,train_features/ZJ000566.jpg,S0105,5
ZJ000567,train_features/ZJ000567.jpg,S0074,7
ZJ000568,train_features/ZJ000568.jpg,S0174,7
ZJ000569,train_features/ZJ000569.jpg,S0060,0
ZJ000570,train_features/ZJ000570.jpg,S0009,6
ZJ000572,train_features/ZJ000572.jpg,S0083,1
ZJ000574,train_features/ZJ000574.jpg,S0009,4
ZJ000575,train_features/ZJ000575.jpg,S0134,1
ZJ000576,train_features/ZJ000576.jpg,S0141,6
ZJ000577,train_features/ZJ000577.jpg,S0008,3
ZJ000578,train_features/ZJ000578.jpg,S0036,6
ZJ000579,train_features/ZJ000579.jpg,S0044,2
ZJ000580,train_features/ZJ000580.jpg,S0120,4
ZJ000581,train_features/ZJ000581.jpg,S0060,3
ZJ000583,train_features/ZJ000583.jpg,S0016,3
ZJ000584,train_features/ZJ000584.jpg,S0009,1
ZJ000585,train_features/ZJ000585.jpg,S0105,5
ZJ000586,train_features/ZJ000586.jpg,S0184,2
ZJ000587,train_features/ZJ000587.jpg,S0127,0
ZJ000588,train_features/ZJ000588.jpg,S0060,3
ZJ000589,train_features/ZJ000589.jpg,S0022,6
ZJ000590,train_features/ZJ000590.jpg,S0141,6
ZJ000591,train_features/ZJ000591.jpg,S0030,3
ZJ000594,train_features/ZJ000594.jpg,S0084,5
ZJ000595,train_features/ZJ000595.jpg,S0009,1
ZJ000596,train_features/ZJ000596.jpg,S0009,1
